No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;
152;27,846524;;27,846524;27,846647;49,386362;;70,926077;-70,926231;-141,852308;;
153;27,846647;;27,846647;27,846801;-21,539715;;-70,926231;70,872474;141,798705;;
154;27,846801;;27,846801;27,900558;49,386516;;70,872474;-70,92017;-141,792644;;
155;27,900558;;27,900558;27,948254;-21,485958;;-70,92017;70,716257;141,636427;;
156;27,948254;;27,948254;28,152167;49,434212;;70,716257;-70,71638;-141,432637;;
157;28,152167;;28,152167;28,15229;-21,282045;;-70,71638;70,516351;141,232731;;
158;28,15229;;28,15229;28,352319;49,434335;;70,516351;-70,519963;-141,036314;;
159;28,352319;;28,352319;28,355931;-21,082016;;-70,519963;70,51976;141,039723;;
161;28,355931;;28,355931;28,356134;49,437947;;70,51976;-70,560093;-141,079853;;
162;28,356134;;28,356134;28,396467;-21,081813;;-70,560093;70,386478;140,946571;;
163;28,396467;;28,396467;28,570082;49,47828;;70,386478;-70,442401;-140,828879;;
164;28,570082;;28,570082;28,626005;-20,908198;;-70,442401;70,321341;140,763742;;
165;28,626005;;28,626005;28,747065;49,534203;;70,321341;-70,354956;-140,676297;;
166;28,747065;;28,747065;28,78068;-20,787138;;-70,354956;70,354894;140,70985;;
167;28,78068;;28,78068;28,780742;49,567818;;70,354894;-70,531277;-140,886171;;
168;28,780742;;28,780742;28,957125;-20,787076;;-70,531277;70,51334;141,044617;;
169;28,957125;;28,957125;28,975062;49,744201;;70,51334;-70,513462;-141,026802;;
170;28,975062;;28,975062;28,975184;-20,769139;;-70,513462;70,513061;141,026523;;
171;28,975184;;28,975184;28,975585;49,744323;;70,513061;-70,514679;-141,02774;;
172;28,975585;;28,975585;28,977203;-20,768738;;-70,514679;70,514629;141,029308;;
173;28,977203;;28,977203;28,977253;49,745941;;70,514629;-70,51484;-141,029469;;
174;28,977253;;28,977253;28,977464;-20,768688;;-70,51484;70,512975;141,027815;;
175;28,977464;;28,977464;28,979329;49,746152;;70,512975;-70,513047;-141,026022;;
176;28,979329;;28,979329;28,979401;-20,766823;;-70,513047;70,512756;141,025803;;
177;28,979401;;28,979401;28,979692;49,746224;;70,512756;-70,645292;-141,158048;;
178;28,979692;;28,979692;29,112228;-20,766532;;-70,645292;70,532955;141,178247;;
179;29,112228;;29,112228;29,224565;49,87876;;70,532955;-70,598589;-141,131544;;
180;29,224565;;29,224565;29,290199;-20,654195;;-70,598589;70,598528;141,197117;;
183;29,290199;;29,290199;29,29026;49,944394;;70,598528;-70,59864;-141,197168;;
184;29,29026;;29,29026;29,290372;-20,654134;;-70,59864;70,59864;141,19728;;
185;29,290372;;29,290372;29,290372;49,944506;;70,59864;-70,598667;-141,197307;;
186;29,290372;;29,290372;29,290399;-20,654134;;-70,598667;70,598625;141,197292;;
187;29,290399;;29,290399;29,290441;49,944533;;70,598625;-70,677918;-141,276543;;
188;29,290441;;29,290441;29,369734;-20,654092;;-70,677918;70,674303;141,352221;;
189;29,369734;;29,369734;29,373349;50,023826;;70,674303;-70,678121;-141,352424;;
190;29,373349;;29,373349;29,377167;-20,650477;;-70,678121;70,678073;141,356194;;
191;29,377167;;29,377167;29,377215;50,027644;;70,678073;-70,683912;-141,361985;;
192;29,377215;;29,377215;29,383054;-20,650429;;-70,683912;70,682997;141,366909;;
193;29,383054;;29,383054;29,383969;50,033483;;70,682997;-70,683043;-141,36604;;
194;29,383969;;29,383969;29,384015;-20,649514;;-70,683043;70,673035;141,356078;;
195;29,384015;;29,384015;29,394023;50,033529;;70,673035;-70,673322;-141,346357;;
196;29,394023;;29,394023;29,39431;-20,639506;;-70,673322;70,673172;141,346494;;
197;29,39431;;29,39431;29,39446;50,033816;;70,673172;-70,690251;-141,363423;;
198;29,39446;;29,39446;29,411539;-20,639356;;-70,690251;70,690124;141,380375;;
199;29,411539;;29,411539;29,411666;50,050895;;70,690124;-70,690539;-141,380663;;
200;29,411666;;29,411666;29,412081;-20,639229;;-70,690539;70,504934;141,195473;;
201;29,412081;;29,412081;29,597686;50,05131;;70,504934;-70,600877;-141,105811;;
202;29,597686;;29,597686;29,693629;-20,453624;;-70,600877;70,600811;141,201688;;
203;29,693629;;29,693629;29,693695;50,147253;;70,600811;-70,621472;-141,222283;;
204;29,693695;;29,693695;29,714356;-20,453558;;-70,621472;70,621408;141,24288;;
205;29,714356;;29,714356;29,71442;50,167914;;70,621408;-70,794491;-141,415899;;
206;29,71442;;29,71442;29,887503;-20,453494;;-70,794491;70,778266;141,572757;;
207;29,887503;;29,887503;29,903728;50,340997;;70,778266;-70,912275;-141,690541;;
208;29,903728;;29,903728;30,037737;-20,437269;;-70,912275;70,859132;141,771407;;
209;30,037737;;30,037737;30,09088;50,475006;;70,859132;-70,859132;-141,718264;;
210;30,09088;;30,09088;30,09088;-20,384126;;-70,859132;70,798431;141,657563;;
211;30,09088;;30,09088;30,151581;50,475006;;70,798431;-70,798525;-141,596956;;
212;30,151581;;30,151581;30,151675;-20,323425;;-70,798525;70,545096;141,343621;;
213;30,151675;;30,151675;30,405104;50,4751;;70,545096;-70,58396;-141,129056;;
214;30,405104;;30,405104;30,443968;-20,069996;;-70,58396;70,537945;141,121905;;
215;30,443968;;30,443968;30,489983;50,513964;;70,537945;-70,906528;-141,444473;;
216;30,489983;;30,489983;30,858566;-20,023981;;-70,906528;70,903474;141,810002;;
217;30,858566;;30,858566;30,86162;50,882547;;70,903474;-70,904311;-141,807785;;
218;30,86162;;30,86162;30,862457;-20,020927;;-70,904311;70,904311;141,808622;;
219;30,862457;;30,862457;30,862457;50,883384;;70,904311;-70,904427;-141,808738;;
220;30,862457;;30,862457;30,862573;-20,020927;;-70,904427;70,904285;141,808712;;
221;30,862573;;30,862573;30,862715;50,8835;;70,904285;-70,904556;-141,808841;;
222;30,862715;;30,862715;30,862986;-20,020785;;-70,904556;70,904499;141,809055;;
223;30,862986;;30,862986;30,863043;50,883771;;70,904499;-70,905298;-141,809797;;
224;30,863043;;30,863043;30,863842;-20,020728;;-70,905298;70,647195;141,552493;;
